code	species	clade	Mating	M4	M3	M2	Parasitism	P3	P2	Ref
Gpal	Globodera pallida	IV	gonochoristic	A	A	A	plant	B	A	"Cotton, James A., Catherine J. Lilley, Laura M. Jones, Taisei Kikuchi, Adam J. Reid, Peter Thorpe, Isheng J. Tsai et al. ""The genome and life-stage specific transcriptomes of Globodera pallida elucidate key aspects of plant parasitism by a cyst nematode."" Genome Biol 15 (2014): R43."
Gros	Globodera rostochiensis	IV	gonochoristic	A	A	A	plant	B	A	"Cotton, James A., Catherine J. Lilley, Laura M. Jones, Taisei Kikuchi, Adam J. Reid, Peter Thorpe, Isheng J. Tsai et al. ""The genome and life-stage specific transcriptomes of Globodera pallida elucidate key aspects of plant parasitism by a cyst nematode."" Genome Biol 15 (2014): R43."
Haor	Howardula aoronymphium	IV	gonochoristic	A	A	A	animal	A	A	"Jaenike, John. ""Mycophagous Drosophila and their nematode parasites."" American Naturalist (1992): 893-906."
Hbac	Heterorhabditis bacteriophora	V	gonochoristic	A	A	A	animal	A	A	"Poinar, George O. ""Description and biology of a new insect parasitic rhabditoid, Heterorhabditis bacteriophora n. gen., n. sp.(Rhabditida; Heterorhabditidae n. fam.)."" Nematologica 21, no. 4 (1975): 463-470."
Hbak	Heligmosomoides bakeri	V	gonochoristic	A	A	A	animal	A	A	"Behnke, Jerzy, and Phil D. Harris. ""Heligmosomoides bakeri: a new name for an old worm?."" Trends in parasitology 26, no. 11 (2010): 524-529.; Tritten, Lucienne, Uzoma Nwosu, Mireille Vargas, and Jennifer Keiser. ""In vitro and in vivo efficacy of tribendimidine and its metabolites alone and in combination against the hookworms Heligmosomoides bakeri and Ancylostoma ceylanicum."" Acta tropica 122, no. 1 (2012): 101-107."
Hcon	Haemonchus contortus	V	gonochoristic	A	A	A	animal	A	A	"Laing, Roz, Taisei Kikuchi, Axel Martinelli, Isheng J. Tsai, Robin N. Beech, Elizabeth Redman, Nancy Holroyd et al. ""The genome and transcriptome of Haemonchus contortus, a key model parasite for drug and vaccine discovery."" Genome Biol 14, no. 8 (2013): R88."
Hduj	Hypsibius dujardini	O	FacultativePartenogenes	C	B	B	free	C	B	"Gabriel, Willow N., Robert McNuff, Sapna K. Patel, T. Ryan Gregory, William R. Jeck, Corbin D. Jones, and Bob Goldstein. ""The tardigrade Hypsibius dujardini, a new model for studying the evolution of development."" Developmental biology 312, no. 2 (2007): 545-559."
Lloa	Loa loa	III	gonochoristic	A	A	A	animal	A	A	"Bain, Odile, and Simon Babayan. ""Behaviour of filariae: morphological and anatomical signatures of their life style within the arthropod and vertebrate hosts."" Filaria Journal 2, no. 1 (2003): 16."
Lsig	Litomosoides sigmodontis	III	gonochoristic	A	A	A	animal	A	A	"Bain, Odile, and Simon Babayan. ""Behaviour of filariae: morphological and anatomical signatures of their life style within the arthropod and vertebrate hosts."" Filaria Journal 2, no. 1 (2003): 16."
Mchi	Meloidogyne chitwoodi	IV	FacultativePartenogenes	C	B	B	plant	B	A	Chitwood DJ, Perry RN. 2009. Reproduction, Physiology and Biochemistry. In: PerryRN, Moens M, Starr JL, eds. Root-knot nematodes. CAB International. 182-200
